Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"DOCTEUR DE BALLON        ";9;H;"PUR SANG";2;1;1;415200,00;0,00;415200,00;207600,00;830
"L'AUTONOMIE              ";6;F;"PUR SANG";5;5;0;389250,00;0,00;389250,00;77850,00;860
"HERMES BAIE              ";4;H;"CHEVAL AUTRE QUE PUR SANG";5;5;0;344250,00;0,00;344250,00;68850,00;770
"LE LISTRAC               ";4;H;"PUR SANG";6;3;3;305000,00;0,00;305000,00;50833,33;710
"CARRIACOU                ";9;H;"PUR SANG";6;1;5;272150,00;0,00;272150,00;45358,33;780
"AJAS                     ";7;H;"PUR SANG";5;3;2;256750,00;0,00;256750,00;51350,00;785
"FEU FOLLET               ";6;H;"PUR SANG";7;3;3;234675,00;0,00;234675,00;33525,00;760
"L'AUBONNIERE             ";4;F;"PUR SANG";6;2;4;217440,00;0,00;217440,00;36240,00;680
"LE BERRY                 ";5;H;"PUR SANG";4;3;1;195650,00;0,00;195650,00;48912,50;800
"FANFARON SPECIAL         ";6;H;"CHEVAL AUTRE QUE PUR SANG";4;2;2;186350,00;0,00;186350,00;46587,50;680
"GENERAL EN CHEF          ";5;H;"CHEVAL AUTRE QUE PUR SANG";5;2;3;179575,00;0,00;179575,00;35915,00;770
"POLIRICO                 ";6;H;"PUR SANG";6;2;4;178900,00;0,00;178900,00;29816,67;760
"GALLEO CONTI             ";5;H;"CHEVAL AUTRE QUE PUR SANG";6;1;5;178270,00;0,00;178270,00;29711,67;710
"THRILLING                ";6;F;"PUR SANG";7;5;2;161500,00;0,00;161500,00;23071,43;695
"PAUL'S SAGA              ";7;F;"PUR SANG";5;0;5;157300,00;0,00;157300,00;31460,00;780
"GARASIL                  ";8;H;"PUR SANG";5;1;4;153750,00;0,00;153750,00;30750,00;690
"IMPRESSIVE               ";3;H;"PUR SANG";7;3;4;146860,00;0,00;146860,00;20980,00;705
"COLBERT DU BERLAIS       ";4;H;"PUR SANG";7;2;5;145700,00;0,00;145700,00;20814,29;660
"GEX                      ";5;H;"PUR SANG";7;2;2;140450,00;0,00;140450,00;20064,29;740
"GOLD TWEET               ";4;H;"PUR SANG";6;2;4;137440,00;0,00;137440,00;22906,67;680
"RAFFLES FACE             ";4;H;"PUR SANG";5;1;4;137400,00;0,00;137400,00;27480,00;710
"BELLE PROMESSE           ";5;F;"PUR SANG";5;3;2;137340,00;0,00;137340,00;27468,00;640
"PARADISO                 ";3;M;"PUR SANG";4;3;1;136800,00;0,00;136800,00;34200,00;750
"LA BOETIE                ";3;F;"PUR SANG";6;3;3;135745,00;0,00;135745,00;22624,17;710
"POLY GRANDCHAMP          ";9;H;"PUR SANG";7;0;7;134450,00;0,00;134450,00;19207,14;730
"EDDY DE BALME            ";7;H;"PUR SANG";6;0;6;129600,00;0,00;129600,00;21600,00;705
"WANT OF A NAIL           ";5;F;"PUR SANG";7;3;4;129275,00;0,00;129275,00;18467,86;655
"YOUTWO GLASS             ";4;H;"PUR SANG";6;2;4;122940,00;0,00;122940,00;20490,00;675
"EDGEOY                   ";7;H;"CHEVAL AUTRE QUE PUR SANG";8;1;6;121585,00;0,00;121585,00;15198,13;710
"MARTATOR                 ";4;H;"PUR SANG";5;1;4;119660,00;0,00;119660,00;23932,00;710
"LATINO DES ISLES         ";3;H;"PUR SANG";7;2;5;117060,00;0,00;117060,00;16722,86;705
"GOLDEN SON               ";3;H;"PUR SANG";5;2;2;116610,00;0,00;116610,00;23322,00;670
"LET ME LOVE              ";4;F;"PUR SANG";5;3;2;116130,00;0,00;116130,00;23226,00;670
"GALOP MARIN              ";9;H;"PUR SANG";6;0;6;115250,00;0,00;115250,00;19208,33;760
"BERJOU                   ";7;H;"PUR SANG";5;2;3;113500,00;0,00;113500,00;22700,00;680
"SANS BRUIT               ";3;H;"PUR SANG";6;3;2;113270,00;0,00;113270,00;18878,33;705
"GRAND ART                ";5;H;"PUR SANG";5;2;3;113180,00;0,00;113180,00;22636,00;670
"QUEEN DU BERLAIS         ";4;F;"PUR SANG";5;2;3;112185,00;0,00;112185,00;22437,00;645
"SAMPARK                  ";10;H;"PUR SANG";6;2;3;112080,00;0,00;112080,00;18680,00;670
"ROAD MIX TAVEL           ";6;F;"PUR SANG";10;1;7;110750,00;0,00;110750,00;11075,00;580
"LADYVILLE                ";4;F;"PUR SANG";6;2;3;109860,00;0,00;109860,00;18310,00;660
"MATILDA DU BERLAIS       ";3;F;"PUR SANG";4;2;2;109200,00;0,00;109200,00;27300,00;745
"GLORICE                  ";5;H;"CHEVAL AUTRE QUE PUR SANG";6;2;4;108520,00;0,00;108520,00;18086,67;600
"LA CHENEVIERE            ";3;F;"PUR SANG";5;2;3;103680,00;0,00;103680,00;20736,00;685
"ENFANT ROI               ";7;H;"CHEVAL AUTRE QUE PUR SANG";3;1;2;103500,00;0,00;103500,00;34500,00;655
"STARLET DU MESNIL        ";4;F;"PUR SANG";4;3;1;101280,00;0,00;101280,00;25320,00;690
"FOLSOM PRISON            ";6;H;"CHEVAL AUTRE QUE PUR SANG";6;2;2;101100,00;0,00;101100,00;16850,00;735
"FUTBOLISTO               ";8;H;"PUR SANG";8;3;2;100750,00;0,00;100750,00;12593,75;635
"IMPRENABLE               ";3;H;"PUR SANG";4;2;2;98860,00;0,00;98860,00;24715,00;665
"GARKAPSTAR               ";5;H;"CHEVAL AUTRE QUE PUR SANG";5;3;1;97200,00;0,00;97200,00;19440,00;670
"GRAND ONCLE              ";5;H;"CHEVAL AUTRE QUE PUR SANG";7;2;4;96530,00;0,00;96530,00;13790,00;580
"SUPER ALEX               ";6;H;"PUR SANG";7;1;5;94690,00;0,00;94690,00;13527,14;665
"MARTIN SPIRIT            ";4;H;"PUR SANG";10;1;7;92920,00;0,00;92920,00;9292,00;560
"KING OF RUN              ";6;H;"PUR SANG";6;0;5;92500,00;0,00;92500,00;15416,67;605
"YES INDEED               ";4;H;"PUR SANG";4;2;2;92130,00;0,00;92130,00;23032,50;675
"BECQUATHUNDER            ";4;H;"PUR SANG";8;2;6;92000,00;0,00;92000,00;11500,00;590
"HURRICK DES OBEAUX       ";4;H;"CHEVAL AUTRE QUE PUR SANG";6;1;5;91410,00;0,00;91410,00;15235,00;695
"COLONEL D'AUMONT         ";9;H;"PUR SANG";7;3;4;91070,00;0,00;91070,00;13010,00;590
"TOURMALET                ";5;H;"PUR SANG";6;3;2;90480,00;0,00;90480,00;15080,00;615
"AMOUR DU MATHAN          ";6;F;"PUR SANG";9;1;6;87540,00;0,00;87540,00;9726,67;650
"BERYL BAIE               ";10;H;"PUR SANG";8;1;7;86500,00;0,00;86500,00;10812,50;575
"GOAS MAT                 ";5;H;"CHEVAL AUTRE QUE PUR SANG";4;3;1;85040,00;0,00;85040,00;21260,00;680
"GARDEZ LA MONNAIE        ";5;F;"CHEVAL AUTRE QUE PUR SANG";6;2;2;84930,00;0,00;84930,00;14155,00;625
"LOSANGE VERT             ";4;H;"PUR SANG";5;1;4;84300,00;0,00;84300,00;16860,00;650
"BIMBO HAS                ";4;H;"PUR SANG";4;3;1;83610,00;0,00;83610,00;20902,50;640
"BANDERO                  ";6;H;"PUR SANG";6;1;5;83470,00;0,00;83470,00;13911,67;555
"ROI MAGE                 ";9;H;"PUR SANG";5;1;3;83050,00;0,00;83050,00;16610,00;710
"PACHA SENAM              ";5;H;"PUR SANG";5;2;3;82340,00;0,00;82340,00;16468,00;630
"RADIOLOGUE               ";9;H;"PUR SANG";8;2;4;81960,00;0,00;81960,00;10245,00;550
"LOLA OAK                 ";4;F;"PUR SANG";5;1;4;81830,00;0,00;81830,00;16366,00;630
"HEXTRAWEL DU PORTO       ";4;F;"CHEVAL AUTRE QUE PUR SANG";9;2;7;81650,00;0,00;81650,00;9072,22;575
"HAUT LES COEURS          ";4;H;"CHEVAL AUTRE QUE PUR SANG";2;1;1;80400,00;0,00;80400,00;40200,00;705
"IRJA HAS                 ";6;F;"PUR SANG";6;1;1;79875,00;0,00;79875,00;13312,50;585
"KOLINA HAS               ";4;F;"PUR SANG";6;2;3;78965,00;0,00;78965,00;13160,83;610
"DEXTER                   ";4;M;"PUR SANG";6;4;2;78130,00;0,00;78130,00;13021,67;650
"TRUE TIGER               ";4;H;"PUR SANG";6;0;6;77880,00;0,00;77880,00;12980,00;695
"DENTOR DES OBEAUX        ";5;H;"PUR SANG";6;0;6;77725,00;0,00;77725,00;12954,17;590
"JEU DE PAUME             ";4;H;"PUR SANG";8;0;7;77515,00;0,00;77515,00;9689,38;640
"CHORAIL DEBELAIR         ";4;H;"PUR SANG";5;2;3;76990,00;0,00;76990,00;15398,00;630
"HELOY DELABARRIERE       ";4;H;"CHEVAL AUTRE QUE PUR SANG";5;2;2;76780,00;0,00;76780,00;15356,00;655
"FILUP                    ";6;H;"CHEVAL AUTRE QUE PUR SANG";5;1;4;76020,00;0,00;76020,00;15204,00;575
"DARLING DES BORDES       ";8;H;"PUR SANG";5;0;5;75650,00;0,00;75650,00;15130,00;610
"APPLE 'S PIERRO          ";4;H;"PUR SANG";5;3;2;74950,00;0,00;74950,00;14990,00;620
"AIR COMMODORE            ";4;H;"PUR SANG";4;1;3;72580,00;0,00;72580,00;18145,00;580
"PRINCE DU ROUME          ";5;H;"PUR SANG";6;2;3;72160,00;0,00;72160,00;12026,67;630
"CHESTNUT DREAM           ";8;H;"PUR SANG";11;2;6;71855,00;0,00;71855,00;6532,27;575
"KASKAD COKO              ";4;F;"PUR SANG";4;3;1;71760,00;0,00;71760,00;17940,00;635
"DONNE LE CHANGE          ";8;H;"CHEVAL AUTRE QUE PUR SANG";3;2;1;71280,00;0,00;71280,00;23760,00;645
"GEMINI D'AX              ";5;H;"PUR SANG";7;1;5;71140,00;0,00;71140,00;10162,86;590
"HADES                    ";4;H;"CHEVAL AUTRE QUE PUR SANG";5;0;4;71045,00;0,00;71045,00;14209,00;695
"SAINT TURGEON            ";5;H;"PUR SANG";5;2;3;69160,00;0,00;69160,00;13832,00;680
"ECHO DE CHAMPDOUX        ";7;H;"CHEVAL AUTRE QUE PUR SANG";7;1;4;69115,00;0,00;69115,00;9873,57;620
"LORD CHART               ";4;H;"PUR SANG";4;1;3;68450,00;0,00;68450,00;17112,50;635
"MANON DES SOURCES        ";5;F;"PUR SANG";5;2;2;68085,00;0,00;68085,00;13617,00;605
"RISKY STAR               ";6;F;"PUR SANG";8;1;6;67320,00;0,00;67320,00;8415,00;580
"QEENIE'S CASH            ";6;F;"PUR SANG";2;1;1;67000,00;0,00;67000,00;33500,00;635
"GALLIPOLI                ";4;H;"PUR SANG";6;1;5;66490,00;0,00;66490,00;11081,67;655
"FLECHE ROUGE             ";5;F;"PUR SANG";6;2;4;66140,00;0,00;66140,00;11023,33;615
"CALOTIN                  ";7;H;"PUR SANG";7;4;1;65820,00;0,00;65820,00;9402,86;620
"FOLIE PASSAGERE          ";5;F;"PUR SANG";9;1;5;65230,00;0,00;65230,00;7247,78;540
"LA DANZA                 ";4;F;"PUR SANG";5;1;3;64610,00;0,00;64610,00;12922,00;640
"GET ON TIME              ";6;F;"PUR SANG";6;3;2;64260,00;0,00;64260,00;10710,00;610
"CORAZONES                ";9;H;"CHEVAL AUTRE QUE PUR SANG";7;1;5;64250,00;0,00;64250,00;9178,57;645
"INIESTA DU GOUET         ";3;H;"PUR SANG";5;2;2;64170,00;0,00;64170,00;12834,00;655
"HENIWAY                  ";4;F;"PUR SANG";8;2;3;64140,00;0,00;64140,00;8017,50;610
"ITOURS BRUN              ";3;F;"CHEVAL AUTRE QUE PUR SANG";5;1;4;63210,00;0,00;63210,00;12642,00;675
