Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"TORQUATOR TASSO          ";4;M;"PUR SANG";1;1;0;2857000,00;0,00;2857000,00;2857000,00;565
"ST MARK'S BASILICA       ";3;M;"PUR SANG";2;2;0;1199940,00;0,00;1199940,00;599970,00;545
"TARNAWA                  ";5;F;"PUR SANG";1;0;1;1143000,00;0,00;1143000,00;1143000,00;545
"HURRICANE LANE           ";3;M;"PUR SANG";2;1;1;914340,00;0,00;914340,00;457170,00;555
"JOAN OF ARC              ";3;F;"PUR SANG";3;1;0;571400,00;0,00;571400,00;190466,67;505
"PALACE PIER              ";4;M;"PUR SANG";1;1;0;571400,00;0,00;571400,00;571400,00;565
"SEALIWAY                 ";3;M;"PUR SANG";4;0;3;501900,00;85792,00;587692,00;125475,00;530
"ROUGIR                   ";3;F;"PUR SANG";7;1;4;361080,00;90582,00;451662,00;51582,86;535
"MARIANAFOOT              ";6;M;"PUR SANG";7;7;0;358132,00;93269,00;451401,00;51161,71;530
"TEONA                    ";3;F;"PUR SANG";1;1;0;342840,00;0,00;342840,00;342840,00;515
"DUBAI HONOUR             ";3;H;"PUR SANG";2;2;0;342000,00;0,00;342000,00;171000,00;520
"GRAND GLORY              ";5;F;"PUR SANG";6;2;3;325150,00;85398,00;410548,00;54191,67;530
"ZELLIE                   ";2;F;"PUR SANG";6;4;2;321060,00;109701,00;430761,00;53510,00;510
"COEURSAMBA               ";3;F;"PUR SANG";5;1;1;290600,00;66928,00;357528,00;58120,00;500
"MOTHER EARTH             ";3;F;"PUR SANG";2;1;1;285720,00;0,00;285720,00;142860,00;515
"ADAYAR                   ";3;M;"PUR SANG";1;0;1;285500,00;0,00;285500,00;285500,00;575
"PHILOMENE                ";3;F;"PUR SANG";5;1;2;282600,00;80595,00;363195,00;56520,00;500
"SKALLETI                 ";6;H;"PUR SANG";4;3;1;266050,00;70948,00;336998,00;66512,50;540
"BROOME                   ";5;M;"PUR SANG";3;1;1;257160,00;0,00;257160,00;85720,00;525
"BAAEED                   ";3;M;"PUR SANG";1;1;0;257130,00;0,00;257130,00;257130,00;550
"SKAZINO                  ";5;H;"PUR SANG";8;3;5;244650,00;95998,00;340648,00;30581,25;510
"PRETTY TIGER             ";3;M;"PUR SANG";8;4;3;239150,00;129141,00;368291,00;29893,75;505
"POETIC FLARE             ";3;M;"PUR SANG";2;0;1;228600,00;0,00;228600,00;114300,00;555
"ANGEL BLEU               ";2;M;"PUR SANG";1;1;0;228560,00;51426,00;279986,00;228560,00;490
"LAWS OF INDICES          ";3;M;"PUR SANG";2;1;0;228560,00;0,00;228560,00;114280,00;520
"ORDER OF AUSTRALIA       ";4;M;"PUR SANG";2;0;2;217170,00;0,00;217170,00;108585,00;535
"BURGARITA                ";3;F;"PUR SANG";6;2;3;205560,00;0,00;205560,00;34260,00;500
"EBAIYRA                  ";4;F;"PUR SANG";4;2;1;205540,00;0,00;205540,00;51385,00;505
"MARE AUSTRALIS           ";4;M;"PUR SANG";2;1;1;200020,00;0,00;200020,00;100010,00;540
"PERFECT POWER            ";2;M;"PUR SANG";1;1;0;199990,00;0,00;199990,00;199990,00;490
