Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"DOCTEUR DE BALLON        ";9;H;"PUR SANG";2;1;1;415200,00;0,00;415200,00;207600,00;830
"LE LISTRAC               ";4;H;"PUR SANG";6;3;3;305000,00;0,00;305000,00;50833,33;710
"CARRIACOU                ";9;H;"PUR SANG";5;0;5;252950,00;0,00;252950,00;50590,00;780
"AJAS                     ";7;H;"PUR SANG";4;3;1;238750,00;0,00;238750,00;59687,50;785
"L'AUBONNIERE             ";4;F;"PUR SANG";6;2;4;217440,00;0,00;217440,00;36240,00;680
"FEU FOLLET               ";6;H;"PUR SANG";6;2;3;213075,00;0,00;213075,00;35512,50;760
"FANFARON SPECIAL         ";6;H;"CHEVAL AUTRE QUE PUR SANG";4;2;2;186350,00;0,00;186350,00;46587,50;680
"LE BERRY                 ";5;H;"PUR SANG";3;2;1;169250,00;0,00;169250,00;56416,67;800
"GENERAL EN CHEF          ";5;H;"CHEVAL AUTRE QUE PUR SANG";3;1;2;153700,00;0,00;153700,00;51233,33;770
"GALLEO CONTI             ";5;H;"CHEVAL AUTRE QUE PUR SANG";3;0;3;148450,00;0,00;148450,00;49483,33;710
"POLY GRANDCHAMP          ";9;H;"PUR SANG";7;0;7;134450,00;0,00;134450,00;19207,14;730
"EDDY DE BALME            ";7;H;"PUR SANG";6;0;6;129600,00;0,00;129600,00;21600,00;705
"GOLD TWEET               ";4;H;"PUR SANG";5;2;3;126640,00;0,00;126640,00;25328,00;680
"EDGEOY                   ";7;H;"CHEVAL AUTRE QUE PUR SANG";7;1;5;118210,00;0,00;118210,00;16887,14;710
"THRILLING                ";6;F;"PUR SANG";3;3;0;118000,00;0,00;118000,00;39333,33;695
"QUEEN DU BERLAIS         ";4;F;"PUR SANG";5;2;3;112185,00;0,00;112185,00;22437,00;645
"SAMPARK                  ";10;H;"PUR SANG";6;2;3;112080,00;0,00;112080,00;18680,00;670
"ROAD MIX TAVEL           ";6;F;"PUR SANG";8;1;7;110750,00;0,00;110750,00;13843,75;580
"LADYVILLE                ";4;F;"PUR SANG";6;2;3;109860,00;0,00;109860,00;18310,00;660
"ENFANT ROI               ";7;H;"CHEVAL AUTRE QUE PUR SANG";3;1;2;103500,00;0,00;103500,00;34500,00;655
"LET ME LOVE              ";4;F;"PUR SANG";4;2;2;100950,00;0,00;100950,00;25237,50;670
"GARASIL                  ";8;H;"PUR SANG";3;1;2;99450,00;0,00;99450,00;33150,00;690
"GLORICE                  ";5;H;"CHEVAL AUTRE QUE PUR SANG";5;2;3;97000,00;0,00;97000,00;19400,00;600
"LOSANGE VERT             ";4;H;"PUR SANG";5;1;4;84300,00;0,00;84300,00;16860,00;650
"BERYL BAIE               ";10;H;"PUR SANG";7;1;6;83560,00;0,00;83560,00;11937,14;575
"ROI MAGE                 ";9;H;"PUR SANG";4;1;3;83050,00;0,00;83050,00;20762,50;710
"YOUTWO GLASS             ";4;H;"PUR SANG";3;1;2;82400,00;0,00;82400,00;27466,67;675
"IRJA HAS                 ";6;F;"PUR SANG";5;1;1;79875,00;0,00;79875,00;15975,00;585
"WANT OF A NAIL           ";5;F;"PUR SANG";3;1;2;78070,00;0,00;78070,00;26023,33;655
"HELOY DELABARRIERE       ";4;H;"CHEVAL AUTRE QUE PUR SANG";5;2;2;76780,00;0,00;76780,00;15356,00;655
"GOAS MAT                 ";5;H;"CHEVAL AUTRE QUE PUR SANG";3;2;1;76400,00;0,00;76400,00;25466,67;680
"BIMBO HAS                ";4;H;"PUR SANG";3;2;1;75930,00;0,00;75930,00;25310,00;640
"DARLING DES BORDES       ";8;H;"PUR SANG";5;0;5;75650,00;0,00;75650,00;15130,00;610
"CHESTNUT DREAM           ";8;H;"PUR SANG";9;2;6;71855,00;0,00;71855,00;7983,89;575
"DONNE LE CHANGE          ";8;H;"CHEVAL AUTRE QUE PUR SANG";3;2;1;71280,00;0,00;71280,00;23760,00;645
"BANDERO                  ";6;H;"PUR SANG";5;1;4;71150,00;0,00;71150,00;14230,00;555
"HADES                    ";4;H;"CHEVAL AUTRE QUE PUR SANG";5;0;4;71045,00;0,00;71045,00;14209,00;695
"YES INDEED               ";4;H;"PUR SANG";3;1;2;69130,00;0,00;69130,00;23043,33;675
"GRAND ONCLE              ";5;H;"CHEVAL AUTRE QUE PUR SANG";5;2;2;68910,00;0,00;68910,00;13782,00;580
"QEENIE'S CASH            ";6;F;"PUR SANG";2;1;1;67000,00;0,00;67000,00;33500,00;635
"AMOUR DU MATHAN          ";6;F;"PUR SANG";6;1;3;65290,00;0,00;65290,00;10881,67;650
