;Cheval;Age;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur;spec
0;L'AUTONOMIE              ;6;F;PUR SANG;5;5;0;389250,00;0,00;389250,00;77850,00;860.0;haie
1;HERMES BAIE              ;4;H;CHEVAL AUTRE QUE PUR SANG;5;5;0;344250,00;0,00;344250,00;68850,00;770.0;haie
2;POLIRICO                 ;6;H;PUR SANG;6;2;4;178900,00;0,00;178900,00;29816,67;760.0;haie
3;PAUL'S SAGA              ;7;F;PUR SANG;5;0;5;157300,00;0,00;157300,00;31460,00;780.0;haie
4;COLBERT DU BERLAIS       ;4;H;PUR SANG;7;2;5;145700,00;0,00;145700,00;20814,29;660.0;haie
5;GEX                      ;5;H;PUR SANG;6;2;2;140450,00;0,00;140450,00;23408,33;740.0;haie
6;RAFFLES FACE             ;4;H;PUR SANG;5;1;4;137400,00;0,00;137400,00;27480,00;710.0;haie
7;PARADISO                 ;3;M;PUR SANG;4;3;1;136800,00;0,00;136800,00;34200,00;750.0;haie
8;LA BOETIE                ;3;F;PUR SANG;6;3;3;135745,00;0,00;135745,00;22624,17;710.0;haie
9;IMPRESSIVE               ;3;H;PUR SANG;6;3;3;134320,00;0,00;134320,00;22386,67;705.0;haie
10;BELLE PROMESSE           ;5;F;PUR SANG;4;3;1;124860,00;0,00;124860,00;31215,00;640.0;haie
11;MARTATOR                 ;4;H;PUR SANG;4;1;3;116800,00;0,00;116800,00;29200,00;710.0;haie
12;GOLDEN SON               ;3;H;PUR SANG;5;2;2;116610,00;0,00;116610,00;23322,00;670.0;haie
13;GALOP MARIN              ;9;H;PUR SANG;6;0;6;115250,00;0,00;115250,00;19208,33;760.0;haie
14;SANS BRUIT               ;3;H;PUR SANG;6;3;2;113270,00;0,00;113270,00;18878,33;705.0;haie
15;GRAND ART                ;5;H;PUR SANG;5;2;3;113180,00;0,00;113180,00;22636,00;670.0;haie
16;MATILDA DU BERLAIS       ;3;F;PUR SANG;4;2;2;109200,00;0,00;109200,00;27300,00;745.0;haie
17;LA CHENEVIERE            ;3;F;PUR SANG;5;2;3;103680,00;0,00;103680,00;20736,00;685.0;haie
18;IMPRENABLE               ;3;H;PUR SANG;4;2;2;98860,00;0,00;98860,00;24715,00;665.0;haie
19;SUPER ALEX               ;6;H;PUR SANG;7;1;5;94690,00;0,00;94690,00;13527,14;665.0;haie
20;BECQUATHUNDER            ;4;H;PUR SANG;8;2;6;92000,00;0,00;92000,00;11500,00;590.0;haie
21;HURRICK DES OBEAUX       ;4;H;CHEVAL AUTRE QUE PUR SANG;6;1;5;91410,00;0,00;91410,00;15235,00;695.0;haie
22;KING OF RUN              ;6;H;PUR SANG;5;0;4;91100,00;0,00;91100,00;18220,00;605.0;haie
23;HAUT LES COEURS          ;4;H;CHEVAL AUTRE QUE PUR SANG;2;1;1;80400,00;0,00;80400,00;40200,00;705.0;haie
24;TRUE TIGER               ;4;H;PUR SANG;6;0;6;77880,00;0,00;77880,00;12980,00;695.0;haie
25;DENTOR DES OBEAUX        ;5;H;PUR SANG;6;0;6;77725,00;0,00;77725,00;12954,17;590.0;haie
26;STARLET DU MESNIL        ;4;F;PUR SANG;3;2;1;77360,00;0,00;77360,00;25786,67;690.0;haie
27;FOLSOM PRISON            ;6;H;CHEVAL AUTRE QUE PUR SANG;3;1;2;73200,00;0,00;73200,00;24400,00;735.0;haie
28;AIR COMMODORE            ;4;H;PUR SANG;4;1;3;72580,00;0,00;72580,00;18145,00;580.0;haie
29;MARTIN SPIRIT            ;4;H;PUR SANG;8;0;6;71960,00;0,00;71960,00;8995,00;560.0;haie
30;FUTBOLISTO               ;8;H;PUR SANG;5;2;1;69525,00;0,00;69525,00;13905,00;635.0;haie
31;LATINO DES ISLES         ;3;H;PUR SANG;4;1;3;69300,00;0,00;69300,00;17325,00;705.0;haie
32;DEXTER                   ;4;M;PUR SANG;5;3;2;68010,00;0,00;68010,00;13602,00;650.0;haie
33;LOLA OAK                 ;4;F;PUR SANG;4;1;3;64280,00;0,00;64280,00;16070,00;630.0;haie
34;FOLIE PASSAGERE          ;5;F;PUR SANG;8;1;4;63670,00;0,00;63670,00;7958,75;540.0;haie
35;ITOURS BRUN              ;3;F;CHEVAL AUTRE QUE PUR SANG;5;1;4;63210,00;0,00;63210,00;12642,00;675.0;haie
36;HUCELLO                  ;4;H;CHEVAL AUTRE QUE PUR SANG;3;2;1;63190,00;0,00;63190,00;21063,33;680.0;haie
37;KARUSO DE GRUCHY         ;4;H;PUR SANG;3;1;2;62880,00;0,00;62880,00;20960,00;600.0;haie
38;PRINCE DU ROUME          ;5;H;PUR SANG;5;1;3;62080,00;0,00;62080,00;12416,00;630.0;haie
39;VALENTEENE               ;4;F;PUR SANG;6;1;5;62060,00;0,00;62060,00;10343,33;590.0;haie
40;KIMRIVER                 ;5;H;PUR SANG;4;2;1;61380,00;0,00;61380,00;15345,00;640.0;haie
41;JEU DE PAUME             ;4;H;PUR SANG;6;0;5;60975,00;0,00;60975,00;10162,50;640.0;haie
42;LES YEUX VERT            ;3;F;PUR SANG;2;2;0;60960,00;0,00;60960,00;30480,00;;haie
43;COLONEL D'AUMONT         ;9;H;PUR SANG;5;2;3;60750,00;0,00;60750,00;12150,00;590.0;haie
44;KASKAD COKO              ;4;F;PUR SANG;3;3;0;59800,00;0,00;59800,00;19933,33;635.0;haie
45;MANON DES SOURCES        ;5;F;PUR SANG;4;1;2;59445,00;0,00;59445,00;14861,25;605.0;haie
46;GALLIPOLI                ;4;H;PUR SANG;4;1;3;58830,00;0,00;58830,00;14707,50;655.0;haie
47;WEST END GIRL            ;3;F;PUR SANG;3;1;2;58200,00;0,00;58200,00;19400,00;665.0;haie
48;ANOUMA FREEDOM           ;10;H;PUR SANG;8;0;5;58015,00;0,00;58015,00;7251,88;605.0;haie
49;GARKAPSTAR               ;5;H;CHEVAL AUTRE QUE PUR SANG;2;2;0;57600,00;0,00;57600,00;28800,00;670.0;haie
50;ECHO DE CHAMPDOUX        ;7;H;CHEVAL AUTRE QUE PUR SANG;5;1;3;57595,00;0,00;57595,00;11519,00;620.0;haie
51;CORAZONES                ;9;H;CHEVAL AUTRE QUE PUR SANG;5;1;4;57500,00;0,00;57500,00;11500,00;645.0;haie
52;PACHA SENAM              ;5;H;PUR SANG;4;1;3;57380,00;0,00;57380,00;14345,00;630.0;haie
53;RAFFLES SAINTE           ;5;F;PUR SANG;4;0;4;57150,00;0,00;57150,00;14287,50;630.0;haie
54;MAGISTADOR               ;9;H;PUR SANG;4;0;3;57000,00;0,00;57000,00;14250,00;630.0;haie
55;MONTY SAGA               ;5;H;PUR SANG;7;2;3;56985,00;0,00;56985,00;8140,71;590.0;haie
56;GARO DE JUILLEY          ;9;H;PUR SANG;6;1;3;56750,00;0,00;56750,00;9458,33;655.0;haie
57;INSIDE MONTLIOUX         ;4;H;PUR SANG;4;2;0;56040,00;0,00;56040,00;14010,00;600.0;haie
58;HAVANIA                  ;3;F;PUR SANG;12;5;5;55990,00;0,00;55990,00;4665,83;590.0;haie
59;FENCES                   ;6;H;CHEVAL AUTRE QUE PUR SANG;6;2;2;55780,00;0,00;55780,00;9296,67;550.0;haie
60;PORTENTOSO               ;6;H;PUR SANG;6;1;4;55065,00;0,00;55065,00;9177,50;560.0;haie
61;GARASIL                  ;8;H;PUR SANG;2;0;2;54300,00;0,00;54300,00;27150,00;690.0;haie
62;HAPPY DE REVE            ;4;H;CHEVAL AUTRE QUE PUR SANG;9;0;9;54150,00;0,00;54150,00;6016,67;620.0;haie
63;GARDEZ LA MONNAIE        ;5;F;CHEVAL AUTRE QUE PUR SANG;5;1;2;53730,00;0,00;53730,00;10746,00;625.0;haie
64;ALTESSE DU BERLAIS       ;3;F;PUR SANG;4;2;2;53700,00;0,00;53700,00;13425,00;665.0;haie
65;JIMMY DE LILLE           ;7;H;PUR SANG;7;1;4;53460,00;0,00;53460,00;7637,14;555.0;haie
66;GET ON TIME              ;6;F;PUR SANG;4;2;1;53280,00;0,00;53280,00;13320,00;610.0;haie
67;TONGUETTED               ;3;H;PUR SANG;4;1;2;53040,00;0,00;53040,00;13260,00;665.0;haie
68;KATRIBU                  ;4;M;PUR SANG;3;2;1;52980,00;0,00;52980,00;17660,00;670.0;haie
69;THELEME                  ;4;H;PUR SANG;2;0;2;52800,00;0,00;52800,00;26400,00;750.0;haie
70;RADIOLOGUE               ;9;H;PUR SANG;4;2;1;51840,00;0,00;51840,00;12960,00;550.0;haie
71;POLLEXFEN                ;5;H;PUR SANG;7;1;4;51595,00;0,00;51595,00;7370,71;605.0;haie
72;WANT OF A NAIL           ;5;F;PUR SANG;4;2;2;51205,00;0,00;51205,00;12801,25;655.0;haie
73;RISKY STAR               ;6;F;PUR SANG;4;1;3;50615,00;0,00;50615,00;12653,75;580.0;haie
74;BERJOU                   ;7;H;PUR SANG;4;1;3;50500,00;0,00;50500,00;12625,00;680.0;haie
