jockeys;spec;top_20;
RAFFIN E.;atte;1;
LEBOURGEOIS Y.;atte;1;
ABRIVARD M.;atte;1;
NIVARD F.;atte;1;
ABRIVARD A.;atte;1;
THOMAIN	D.;atte;1;
LAGADEUC F.;atte;1;
MARTENS C.;atte;1;
BEKAERT D.;atte;1;
WIELS A.;atte;1;
MONCLIN	J. P.;atte;1;
ERNAULT	S.;atte;1;
GELORMINI G.;atte;1;
OUVRIE F.;atte;1;
TERRY C.;atte;1;
MOTTIER M.;atte;1;
ROCHARD	B.;atte;1;
VERVA P. Y.;atte;1;
ENSCH N.;atte;1;
BAZIRE J. M.;atte;1;
GUYON M.;plat;1;
BARZALONA M.;plat;1;
BACHELOT T;plat;1;
SOUMILLON C.;plat;1;
DEMURO C.;plat;1;
BOUDOT P. C.;plat;1;
HARDOUIN E.;plat;1;
PASQUIER S.;plat;1;
CRASTUS A.;plat;1;
VELON MLLE M.;plat;1;
PESLIER O.;plat;1;
BENOIST G.;plat;1;
MENDIZABAL I.;plat;1;
LEMAITRE A.;plat;1;
BLONDEL F.;plat;1;
ROUSSEL A.;plat;1;
SEGUY V.;plat;1;
EYQUEM J. B.;plat;1;
ORANI A.;plat;1;
EON MLLE M.;plat;1;
REVELEY J.;haie,;1;
LEFEBVRE C.;haie;1;
ZULIANI A.;haie;1;
NABET K.;haie;1;
DE GILES F.;haie;1;
DUBOURG K.;haie;1;
LESTRADE B.;haie;1;
DESOUTTER MLLE N.;haie;1;
LE CLERC B.;haie;1;
DUBOURG P.;haie;1;
CHEVILLARD T.;haie;1;
PRICHARD MLLE C.;haie;1;
MASURE G.;haie;1;
RICHARD G.;haie;1;
CHARRON J.;haie;1;
PHILIPPERON L.;haie;1;
ZULIANI L.;haie;1;
RENARD A.;haie;1;
RE G.;haie;1;
ANDRIEUX T.;haie;1;
REVELEY J.;stee;1;
DUBOURG K.;stee;1;
ZULIANI A.;stee;1;
LEFEBVRE C.;stee;1;
DE GILES F.;stee;1;
JOUIN O.;stee;1;
PAILLARD S.;stee;1;
LESTRADE B.;stee;1;
PRICHARD MLLE C.;stee;1;
NABET K.;stee;1;
LE CLERC B.;stee;1;
JULLIOT R.;stee;1;
BURELLER E.;stee;1;
RIOU C.;stee;1;
BESSON F.;stee;1;
ORAIN A.;stee;1;
LABAISSE E.;stee;1;
CHEVILLARD T.;stee;1;
CHARRON J.;stee;1;
ZULIANI L.;stee;1;
REVELEY J.;cros;1;
DUBOURG K.;cros;1;
ZULIANI A.;cros;1;
LEFEBVRE C.;cros;1;
DE GILES F.;cros;1;
JOUIN O.;cros;1;
PAILLARD S.;cros;1;
LESTRADE B.;cros;1;
PRICHARD MLLE C.;cros;1;
NABET K.;cros;1;
LE CLERC B.;cros;1;
JULLIOT R.;cros;1;
BURELLER E.;cros;1;
RIOU C.;cros;1;
BESSON F.;cros;1;
ORAIN A.;cros;1;
LABAISSE E.;cros;1;
CHEVILLARD T.;cros;1;
CHARRON J.;cros;1;
ZULIANI L.;cros;1;
GUYON M.;mont;1;
BARZALONA M.;mont;1;
BACHELOT T;mont;1;
SOUMILLON C.;mont;1;
DEMURO C.;mont;1;
BOUDOT P. C.;mont;1;
HARDOUIN E.;mont;1;
PASQUIER S.;mont;1;
CRASTUS A.;mont;1;
VELON MLLE M.;mont;1;
PESLIER O.;mont;1;
BENOIST G.;mont;1;
MENDIZABAL I.;mont;1;
LEMAITRE A.;mont;1;
BLONDEL F.;mont;1;
ROUSSEL A.;mont;1;
SEGUY V.;mont;1;
EYQUEM J. B.;mont;1;
ORANI A.;mont;1;
EON MLLE M.;mont;1;
